Id;Alert;Status;Risk;Type
10097;Hash Disclosure;beta;;Passive Scan Rule
10098;Cross-Domain Misconfiguration;release;;Passive Scan Rule
10099;Source Code Disclosure;alpha;;Passive Scan Rule
10103;Image Location and Privacy Scanner;beta;;Passive Scan Rule
10104;User Agent Fuzzer;beta;Informational;Active Scan Rule
10105;Weak Authentication Method;release;;Passive Scan Rule
10106;HTTP Only Site;beta;Medium;Active Scan Rule
10107;Httpoxy - Proxy Header Misuse;beta;High;Active Scan Rule
10108;Reverse Tabnabbing;beta;;Passive Scan Rule
10109;Modern Web Application;beta;;Passive Scan Rule
10110;Dangerous JS Functions;alpha;;Passive Scan Rule
10202;Absence of Anti-CSRF Tokens;release;;Passive Scan Rule
20012;Anti-CSRF Tokens Check;beta;High;Active Scan Rule
20014;HTTP Parameter Pollution;beta;Informational;Active Scan Rule
20015;Heartbleed OpenSSL Vulnerability;beta;High;Active Scan Rule
20016;Cross-Domain Misconfiguration;beta;High;Active Scan Rule
20017;Source Code Disclosure - CVE-2012-1823;beta;High;Active Scan Rule
20018;Remote Code Execution - CVE-2012-1823;beta;High;Active Scan Rule
20019;External Redirect;release;High;Active Scan Rule
30001;Buffer Overflow;release;Medium;Active Scan Rule
30002;Format String Error;release;Medium;Active Scan Rule
30003;Integer Overflow Error;beta;Medium;Active Scan Rule
40003;CRLF Injection;release;Medium;Active Scan Rule
40008;Parameter Tampering;release;Medium;Active Scan Rule
40009;Server Side Include;release;High;Active Scan Rule
40012;Cross Site Scripting (Reflected);release;High;Active Scan Rule
40013;Session Fixation;beta;High;Active Scan Rule
40014;Cross Site Scripting (Persistent);release;High;Active Scan Rule
40015;LDAP Injection;alpha;High;Active Scan Rule
40016;Cross Site Scripting (Persistent) - Prime;release;Informational;Active Scan Rule
40017;Cross Site Scripting (Persistent) - Spider;release;Informational;Active Scan Rule
40018;SQL Injection;release;High;Active Scan Rule
40019;SQL Injection - MySQL;beta;High;Active Scan Rule
40020;SQL Injection - Hypersonic SQL;beta;High;Active Scan Rule
40021;SQL Injection - Oracle;beta;High;Active Scan Rule
40022;SQL Injection - PostgreSQL;beta;High;Active Scan Rule
40023;Possible Username Enumeration;beta;Informational;Active Scan Rule
40024;SQL Injection - SQLite;beta;High;Active Scan Rule
40025;Proxy Disclosure;beta;Medium;Active Scan Rule
40026;Cross Site Scripting (DOM Based);beta;High;Active Scan Rule
40027;SQL Injection - MsSQL;beta;High;Active Scan Rule
40028;ELMAH Information Leak;release;Medium;Active Scan Rule
40029;Trace.axd Information Leak;beta;Medium;Active Scan Rule
40032;.htaccess Information Leak;release;Medium;Active Scan Rule
40033;NoSQL Injection - MongoDB;alpha;High;Active Scan Rule
40034;.env Information Leak;beta;Medium;Active Scan Rule
40035;Hidden File Finder;beta;Medium;Active Scan Rule
40036;JWT Scan Rule;alpha;Medium;Active Scan Rule
90001;Insecure JSF ViewState;release;;Passive Scan Rule
90002;Java Serialization Object;alpha;;Passive Scan Rule
90003;Sub Resource Integrity Attribute Missing;alpha;;Passive Scan Rule
90011;Charset Mismatch;release;;Passive Scan Rule
90017;XSLT Injection;beta;Medium;Active Scan Rule
90018;Advanced SQL Injection;beta;High;Active Scan Rule
90019;Server Side Code Injection;release;High;Active Scan Rule
90020;Remote OS Command Injection;release;High;Active Scan Rule
90021;XPath Injection;beta;High;Active Scan Rule
90022;Application Error Disclosure;release;Medium;Passive Scan Rule
90023;XML External Entity Attack;beta;High;Active Scan Rule
90024;Generic Padding Oracle;beta;High;Active Scan Rule
90025;Expression Language Injection;beta;High;Active Scan Rule
90027;Cookie Slack Detector;beta;Informational;Active Scan Rule
90028;Insecure HTTP Method;beta;Medium;Active Scan Rule
90033;Loosely Scoped Cookie;release;;Passive Scan Rule
90034;Cloud Metadata Potentially Exposed;beta;High;Active Scan Rule
